eta,cl_norm,clmax_lim
0.0004,1.1575,1.7740
0.0037,1.2075,1.7740
0.0102,1.2156,1.7740
0.0199,1.2294,1.7740
0.0327,1.2493,1.7740
0.0486,1.2764,1.7740
0.0675,1.3070,1.7740
0.0892,1.3400,1.7740
0.1133,1.3785,1.7750
0.1396,1.4191,1.7772
0.1683,1.4688,1.7795
0.1991,1.5266,1.7821
0.2318,1.5698,1.7848
0.2664,1.6275,1.7876
0.3025,1.6719,1.7906
0.3399,1.7228,1.7937
0.3784,1.7739,1.7969
0.4139,1.7925,1.7964
0.4462,1.7932,1.7923
0.4787,1.7729,1.7881
0.5113,1.7388,1.7839
0.5438,1.7081,1.7797
0.5801,1.6782,1.7750
0.6199,1.6696,1.7699
0.6588,1.6688,1.7649
0.6966,1.6682,1.7600
0.7331,1.6807,1.7553
0.7680,1.6886,1.7508
0.8011,1.6932,1.7466
0.8322,1.6975,1.7425
0.8611,1.6961,1.7388
0.8877,1.6822,1.7354
0.9118,1.6427,1.7338
0.9332,1.5776,1.7338
0.9519,1.4706,1.7338
0.9676,1.3183,1.7338
0.9803,1.1074,1.7338
0.9899,0.8419,1.7338
0.9964,0.5279,1.7338
0.9996,0.1828,1.7338
