eta,cl_norm,clmax_lim
0.0004,1.2282,1.7740
0.0037,1.2966,1.7740
0.0102,1.3048,1.7740
0.0199,1.3220,1.7740
0.0327,1.3444,1.7740
0.0486,1.3738,1.7740
0.0675,1.4114,1.7740
0.0892,1.4504,1.7740
0.1117,1.4902,1.7749
0.1345,1.5284,1.7768
0.1593,1.5824,1.7788
0.1860,1.6261,1.7810
0.2157,1.6704,1.7835
0.2483,1.7107,1.7862
0.2825,1.7402,1.7890
0.3240,1.7739,1.7924
0.3730,1.7953,1.7964
0.4171,1.7953,1.7960
0.4556,1.7831,1.7911
0.4892,1.7713,1.7867
0.5176,1.7425,1.7831
0.5459,1.7209,1.7794
0.5828,1.7040,1.7747
0.6278,1.6983,1.7689
0.6674,1.6947,1.7638
0.7014,1.6947,1.7594
0.7341,1.6957,1.7552
0.7695,1.7031,1.7506
0.8071,1.7049,1.7458
0.8388,1.7028,1.7417
0.8649,1.6904,1.7383
0.8889,1.6610,1.7352
0.9137,1.6170,1.7338
0.9387,1.5364,1.7338
0.9579,1.4119,1.7338
0.9716,1.2477,1.7338
0.9828,1.0370,1.7338
0.9912,0.7841,1.7338
0.9968,0.4902,1.7338
0.9996,0.1695,1.7338
